Date,EUROSTOXX50
1987-06-12,869.28
1987-06-15,879.82
1987-06-16,885.41
1987-06-17,885.93
1987-06-18,885.19
1987-06-19,897.16
1987-06-22,908.73
1987-06-23,915.58
1987-06-24,901.6
1987-06-25,903.66
1987-06-26,909.42
1987-06-29,909.76
1987-06-30,905.3
1987-07-01,894.32
1987-07-02,904.15
1987-07-03,917.81
1987-07-06,918.19
1987-07-07,917.15
1987-07-08,923.2
1987-07-09,920.76
1987-07-10,921.82
1987-07-13,921.73
1987-07-14,925.93
1987-07-15,928.92
1987-07-16,932.15
1987-07-17,941.03
1987-07-20,945.38
1987-07-21,941.54
1987-07-22,937.13
1987-07-23,932.12
1987-07-24,933.19
1987-07-27,936.9
1987-07-28,941.84
1987-07-29,949.38
1987-07-30,957.8
1987-07-31,955.83
1987-08-03,959.68
1987-08-04,957.2
1987-08-05,955.55
1987-08-06,961.22
1987-08-07,963.12
1987-08-10,962.46
1987-08-11,952.68
1987-08-12,961.8
1987-08-13,959.8
1987-08-14,961.79
1987-08-17,959.11
1987-08-18,949.25
1987-08-19,940.09
1987-08-20,949.22
1987-08-21,950.03
1987-08-24,941.89
1987-08-25,941.91
1987-08-26,942.2
1987-08-27,943.3
1987-08-28,947.55
1987-08-31,951.06
1987-09-01,953.63
1987-09-02,947.24
1987-09-03,939.54
1987-09-04,930.39
1987-09-07,919.53
1987-09-08,919.47
1987-09-09,919.76
1987-09-10,928.08
1987-09-11,933.42
1987-09-14,940.81
1987-09-15,936.45
1987-09-16,930.91
1987-09-17,934.09
1987-09-18,928.5
1987-09-21,927.1
1987-09-22,922.49
1987-09-23,937.85
1987-09-24,931.48
1987-09-25,928.34
1987-09-28,934.0
1987-09-29,936.2
1987-09-30,930.71
1987-10-01,938.2
1987-10-02,944.2
1987-10-05,949.42
1987-10-06,945.26
1987-10-07,935.79
1987-10-08,940.33
1987-10-09,926.63
1987-10-12,919.64
1987-10-13,921.87
1987-10-14,916.83
1987-10-15,901.83
1987-10-16,894.23
1987-10-19,823.32
1987-10-20,783.33
1987-10-21,831.37
1987-10-22,799.94
1987-10-23,788.59
1987-10-26,734.34
1987-10-27,741.49
1987-10-28,701.32
1987-10-29,691.31
1987-10-30,730.75
1987-11-02,725.43
1987-11-03,712.87
1987-11-04,689.49
1987-11-05,682.12
1987-11-06,683.04
1987-11-09,654.09
1987-11-10,615.9
1987-11-11,632.36
1987-11-12,676.32
1987-11-13,674.57
1987-11-16,694.95
1987-11-17,678.12
1987-11-18,676.37
1987-11-19,669.38
1987-11-20,653.27
1987-11-23,658.18
1987-11-24,676.14
1987-11-25,675.26
1987-11-26,671.13
1987-11-27,675.21
1987-11-30,658.03
1987-12-01,654.9
1987-12-02,655.07
1987-12-03,650.92
1987-12-04,635.83
1987-12-07,634.13
1987-12-08,638.18
1987-12-09,640.49
1987-12-10,641.11
1987-12-11,636.25
1987-12-14,639.67
1987-12-15,648.78
1987-12-16,661.4
1987-12-17,663.47
1987-12-18,658.56
1987-12-21,665.5
1987-12-22,667.53
1987-12-23,672.74
1987-12-24,671.57
1987-12-25,671.57
1987-12-28,663.68
1987-12-29,651.88
1987-12-30,656.14
1987-12-31,648.13
1988-01-01,648.32
1988-01-04,633.3
1988-01-05,658.48
1988-01-06,665.43
1988-01-07,669.13
1988-01-08,674.72
1988-01-11,650.12
1988-01-12,649.16
1988-01-13,639.19
1988-01-14,642.68
1988-01-15,645.79
1988-01-18,661.85
1988-01-19,648.62
1988-01-20,638.35
1988-01-21,633.54
1988-01-22,635.91
1988-01-25,636.19
1988-01-26,640.18
1988-01-27,637.47
1988-01-28,633.5
1988-01-29,635.95
1988-02-01,639.49
1988-02-02,638.99
1988-02-03,644.82
1988-02-04,653.51
1988-02-05,655.59
1988-02-08,660.39
1988-02-09,652.07
1988-02-10,658.26
1988-02-11,673.0
1988-02-12,678.61
1988-02-15,686.68
1988-02-16,688.36
1988-02-17,696.79
1988-02-18,697.01
1988-02-19,695.96
1988-02-22,702.05
1988-02-23,704.53
1988-02-24,707.13
1988-02-25,712.17
1988-02-26,705.06
1988-02-29,708.88
1988-03-01,715.83
1988-03-02,717.62
1988-03-03,716.51
1988-03-04,711.09
1988-03-07,700.57
1988-03-08,709.99
1988-03-09,713.48
1988-03-10,719.48
1988-03-11,713.28
1988-03-14,714.18
1988-03-15,714.82
1988-03-16,721.6
1988-03-17,706.85
1988-03-18,743.45
1988-03-21,740.41
1988-03-22,729.93
1988-03-23,731.4
1988-03-24,729.04
1988-03-25,719.87
1988-03-28,700.5
1988-03-29,706.16
1988-03-30,706.39
1988-03-31,701.56
1988-04-01,701.37
1988-04-04,699.45
1988-04-05,696.84
1988-04-06,707.35
1988-04-07,712.88
1988-04-08,712.36
1988-04-11,723.06
1988-04-12,728.31
1988-04-13,731.26
1988-04-14,725.77
1988-04-15,712.42
1988-04-18,711.6
1988-04-19,716.63
1988-04-20,711.86
1988-04-21,708.23
1988-04-22,711.58
1988-04-25,714.45
1988-04-26,716.27
1988-04-27,714.72
1988-04-28,717.48
1988-04-29,710.55
1988-05-02,709.88
1988-05-03,705.58
1988-05-04,710.63
1988-05-05,708.49
1988-05-06,707.04
1988-05-09,694.64
1988-05-10,691.69
1988-05-11,682.6
1988-05-12,680.1
1988-05-13,678.99
1988-05-16,693.32
1988-05-17,699.73
1988-05-18,697.68
1988-05-19,686.38
1988-05-20,691.0
1988-05-23,688.63
1988-05-24,689.83
1988-05-25,698.42
1988-05-26,697.56
1988-05-27,696.04
1988-05-30,702.31
1988-05-31,711.12
1988-06-01,724.44
1988-06-02,742.44
1988-06-03,732.45
1988-06-06,736.99
1988-06-07,733.47
1988-06-08,736.43
1988-06-09,749.58
1988-06-10,749.26
1988-06-13,746.51
1988-06-14,750.26
1988-06-15,752.49
1988-06-16,745.17
1988-06-17,747.38
1988-06-20,745.56
1988-06-21,748.29
1988-06-22,754.23
1988-06-23,759.34
1988-06-24,763.67
1988-06-27,762.99
1988-06-28,756.75
1988-06-29,760.82
1988-06-30,760.54
1988-07-01,769.63
1988-07-04,771.49
1988-07-05,775.35
1988-07-06,787.97
1988-07-07,783.36
1988-07-08,783.07
1988-07-11,780.72
1988-07-12,771.99
1988-07-13,766.99
1988-07-14,770.82
1988-07-15,774.77
1988-07-18,772.11
1988-07-19,767.36
1988-07-20,771.81
1988-07-21,772.11
1988-07-22,765.79
1988-07-25,765.03
1988-07-26,772.58
1988-07-27,775.46
1988-07-28,771.12
1988-07-29,780.03
1988-08-01,786.65
1988-08-02,786.91
1988-08-03,785.35
1988-08-04,784.49
1988-08-05,790.72
1988-08-08,786.05
1988-08-09,788.65
1988-08-10,774.91
1988-08-11,766.11
1988-08-12,773.27
1988-08-15,770.05
1988-08-16,766.83
1988-08-17,775.41
1988-08-18,777.71
1988-08-19,774.53
1988-08-22,773.6
1988-08-23,767.15
1988-08-24,769.97
1988-08-25,762.04
1988-08-26,760.86
1988-08-29,757.41
1988-08-30,759.76
1988-08-31,761.63
1988-09-01,757.92
1988-09-02,755.5
1988-09-05,762.97
1988-09-06,764.79
1988-09-07,767.95
1988-09-08,773.44
1988-09-09,768.47
1988-09-12,776.16
1988-09-13,779.82
1988-09-14,789.7
1988-09-15,794.24
1988-09-16,793.88
1988-09-19,798.4
1988-09-20,797.96
1988-09-21,803.58
1988-09-22,805.49
1988-09-23,802.23
1988-09-26,805.86
1988-09-27,802.73
1988-09-28,801.46
1988-09-29,807.99
1988-09-30,809.03
1988-10-03,809.23
1988-10-04,812.2
1988-10-05,814.6
1988-10-06,816.7
1988-10-07,818.72
1988-10-10,823.99
1988-10-11,817.84
1988-10-12,812.66
1988-10-13,819.84
1988-10-14,823.39
1988-10-17,825.53
1988-10-18,833.38
1988-10-19,837.6
1988-10-20,832.5
1988-10-21,832.21
1988-10-24,831.32
1988-10-25,832.41
1988-10-26,846.5
1988-10-27,836.33
1988-10-28,841.45
1988-10-31,837.84
1988-11-01,842.83
1988-11-02,838.65
1988-11-03,837.14
1988-11-04,838.31
1988-11-07,830.56
1988-11-08,836.86
1988-11-09,833.03
1988-11-10,830.49
1988-11-11,826.42
1988-11-14,821.69
1988-11-15,819.76
1988-11-16,822.09
1988-11-17,819.3
1988-11-18,825.01
1988-11-21,822.15
1988-11-22,822.15
1988-11-23,828.6
1988-11-24,829.94
1988-11-25,827.28
1988-11-28,822.2
1988-11-29,823.08
1988-11-30,828.32
1988-12-01,828.11
1988-12-02,825.56
1988-12-05,823.66
1988-12-06,827.01
1988-12-07,834.37
1988-12-08,833.25
1988-12-09,843.45
1988-12-12,836.02
1988-12-13,835.75
1988-12-14,832.87
1988-12-15,832.27
1988-12-16,839.18
1988-12-19,846.69
1988-12-20,854.39
1988-12-21,853.69
1988-12-22,843.38
1988-12-23,856.46
1988-12-26,856.06
1988-12-27,861.08
1988-12-28,859.15
1988-12-29,861.22
1988-12-30,861.36
1989-01-02,866.04
1989-01-03,872.11
1989-01-04,876.29
1989-01-05,883.29
1989-01-06,884.13
1989-01-09,886.05
1989-01-10,881.16
1989-01-11,881.55
1989-01-12,884.53
1989-01-13,885.25
1989-01-16,885.24
1989-01-17,881.7
1989-01-18,880.4
1989-01-19,888.68
1989-01-20,885.46
1989-01-23,880.02
1989-01-24,885.82
1989-01-25,892.57
1989-01-26,887.82
1989-01-27,891.09
1989-01-30,887.65
1989-01-31,880.79
1989-02-01,875.47
1989-02-02,878.08
1989-02-03,884.09
1989-02-06,885.49
1989-02-07,883.82
1989-02-08,891.81
1989-02-09,889.28
1989-02-10,888.1
1989-02-13,876.81
1989-02-14,878.7
1989-02-15,870.83
1989-02-16,872.89
1989-02-17,869.54
1989-02-20,876.73
1989-02-21,874.7
1989-02-22,867.41
1989-02-23,856.7
1989-02-24,864.05
1989-02-27,845.09
1989-02-28,852.86
1989-03-01,859.83
1989-03-02,860.68
1989-03-03,871.1
1989-03-06,879.28
1989-03-07,878.31
1989-03-08,872.83
1989-03-09,873.66
1989-03-10,870.96
1989-03-13,872.52
1989-03-14,876.31
1989-03-15,881.84
1989-03-16,882.9
1989-03-17,879.88
1989-03-20,853.38
1989-03-21,874.93
1989-03-22,874.77
1989-03-23,875.44
1989-03-24,875.9
1989-03-27,873.69
1989-03-28,875.62
1989-03-29,880.18
1989-03-30,882.0
1989-03-31,883.82
1989-04-03,891.11
1989-04-04,892.13
1989-04-05,893.29
1989-04-06,889.88
1989-04-07,891.2
1989-04-10,895.58
1989-04-11,899.74
1989-04-12,902.61
1989-04-13,902.29
1989-04-14,904.91
1989-04-17,909.4
1989-04-18,911.73
1989-04-19,911.97
1989-04-20,908.91
1989-04-21,908.9
1989-04-24,909.26
1989-04-25,904.67
1989-04-26,901.26
1989-04-27,901.96
1989-04-28,901.71
1989-05-01,900.64
1989-05-02,899.12
1989-05-03,897.81
1989-05-04,896.8
1989-05-05,904.73
1989-05-08,900.19
1989-05-09,898.8
1989-05-10,896.6
1989-05-11,893.82
1989-05-12,892.69
1989-05-15,891.69
1989-05-16,891.42
1989-05-17,890.49
1989-05-18,896.03
1989-05-19,898.16
1989-05-22,902.16
1989-05-23,904.47
1989-05-24,905.75
1989-05-25,913.38
1989-05-26,914.44
1989-05-29,920.33
1989-05-30,923.35
1989-05-31,923.42
1989-06-01,924.65
1989-06-02,926.05
1989-06-05,930.43
1989-06-06,929.08
1989-06-07,934.15
1989-06-08,939.58
1989-06-09,940.86
1989-06-12,944.7
1989-06-13,944.87
1989-06-14,947.36
1989-06-15,942.49
1989-06-16,942.76
1989-06-19,948.98
1989-06-20,958.23
1989-06-21,956.75
1989-06-22,958.9
1989-06-23,958.27
1989-06-26,962.7
1989-06-27,959.94
1989-06-28,966.26
1989-06-29,963.4
1989-06-30,953.51
1989-07-03,958.48
1989-07-04,963.44
1989-07-05,955.98
1989-07-06,956.83
1989-07-07,961.77
1989-07-10,965.66
1989-07-11,971.49
1989-07-12,971.05
1989-07-13,977.72
1989-07-14,981.2
1989-07-17,979.47
1989-07-18,981.3
1989-07-19,985.74
1989-07-20,991.39
1989-07-21,993.41
1989-07-24,983.6
1989-07-25,988.98
1989-07-26,994.46
1989-07-27,997.27
1989-07-28,996.93
1989-07-31,997.91
1989-08-01,1006.38
1989-08-02,1008.28
1989-08-03,1004.65
1989-08-04,1016.58
1989-08-07,1018.24
1989-08-08,1020.41
1989-08-09,1022.62
1989-08-10,1018.51
1989-08-11,1022.34
1989-08-14,1019.54
1989-08-15,1012.02
1989-08-16,1018.81
1989-08-17,1020.37
1989-08-18,1017.81
1989-08-21,1024.69
1989-08-22,1021.3
1989-08-23,1020.27
1989-08-24,1026.17
1989-08-25,1036.91
1989-08-28,1034.95
1989-08-29,1031.44
1989-08-30,1034.36
1989-08-31,1038.1
1989-09-01,1040.88
1989-09-04,1048.98
1989-09-05,1056.54
1989-09-06,1048.36
1989-09-07,1055.11
1989-09-08,1058.95
1989-09-11,1054.81
1989-09-12,1052.11
1989-09-13,1049.45
1989-09-14,1048.53
1989-09-15,1047.16
1989-09-18,1050.93
1989-09-19,1047.17
1989-09-20,1045.66
1989-09-21,1045.93
1989-09-22,1051.84
1989-09-25,1050.59
1989-09-26,1045.46
1989-09-27,1042.05
1989-09-28,1041.53
1989-09-29,1032.57
1989-10-02,1027.48
1989-10-03,1039.75
1989-10-04,1042.4
1989-10-05,1041.49
1989-10-06,1047.81
1989-10-09,1055.47
1989-10-10,1054.76
1989-10-11,1043.02
1989-10-12,1042.72
1989-10-13,1035.84
1989-10-16,960.81
1989-10-17,981.08
1989-10-18,983.38
1989-10-19,1001.41
1989-10-20,999.85
1989-10-23,1001.27
1989-10-24,983.84
1989-10-25,973.82
1989-10-26,971.67
1989-10-27,959.03
1989-10-30,965.83
1989-10-31,970.43
1989-11-01,972.43
1989-11-02,969.91
1989-11-03,961.72
1989-11-06,958.61
1989-11-07,947.37
1989-11-08,954.83
1989-11-09,960.36
1989-11-10,970.55
1989-11-13,982.49
1989-11-14,977.94
1989-11-15,973.5
1989-11-16,985.33
1989-11-17,985.81
1989-11-20,989.62
1989-11-21,984.76
1989-11-22,990.51
1989-11-23,996.73
1989-11-24,1005.91
1989-11-27,1010.0
1989-11-28,1009.79
1989-11-29,1013.96
1989-11-30,1023.52
1989-12-01,1034.12
1989-12-04,1045.01
1989-12-05,1040.5
1989-12-06,1048.9
1989-12-07,1051.22
1989-12-08,1050.31
1989-12-11,1048.34
1989-12-12,1048.03
1989-12-13,1046.28
1989-12-14,1043.37
1989-12-15,1045.44
1989-12-18,1042.84
1989-12-19,1038.3
1989-12-20,1050.06
1989-12-21,1057.82
1989-12-22,1060.0
1989-12-25,1060.0
1989-12-26,1063.68
1989-12-27,1082.78
1989-12-28,1095.22
1989-12-29,1098.49
1990-01-01,1098.49
1990-01-02,1101.34
1990-01-03,1112.82
1990-01-04,1113.02
1990-01-05,1099.52
1990-01-08,1104.62
1990-01-09,1108.79
1990-01-10,1099.88
1990-01-11,1111.34
1990-01-12,1100.32
1990-01-15,1094.09
1990-01-16,1076.85
1990-01-17,1085.63
1990-01-18,1071.44
1990-01-19,1069.32
1990-01-22,1070.13
1990-01-23,1072.0
1990-01-24,1048.74
1990-01-25,1061.73
1990-01-26,1061.64
1990-01-29,1063.84
1990-01-30,1067.73
1990-01-31,1069.92
1990-02-01,1081.45
1990-02-02,1099.38
1990-02-05,1111.72
1990-02-06,1108.79
1990-02-07,1093.94
1990-02-08,1102.05
1990-02-09,1091.27
1990-02-12,1075.59
1990-02-13,1067.0
1990-02-14,1067.95
1990-02-15,1072.31
1990-02-16,1088.18
1990-02-19,1073.87
1990-02-20,1053.49
1990-02-21,1046.7
1990-02-22,1053.05
1990-02-23,1038.72
1990-02-26,1031.27
1990-02-27,1045.13
1990-02-28,1048.91
1990-03-01,1039.54
1990-03-02,1057.33
1990-03-05,1064.82
1990-03-06,1062.78
1990-03-07,1074.51
1990-03-08,1082.32
1990-03-09,1087.35
1990-03-12,1082.45
1990-03-13,1088.53
1990-03-14,1092.0
1990-03-15,1101.47
1990-03-16,1105.71
1990-03-19,1108.72
1990-03-20,1103.16
1990-03-21,1114.3
1990-03-22,1104.94
1990-03-23,1107.65
1990-03-26,1114.94
1990-03-27,1108.58
1990-03-28,1108.04
1990-03-29,1113.82
1990-03-30,1115.39
1990-04-02,1102.63
1990-04-03,1117.39
1990-04-04,1117.46
1990-04-05,1120.48
1990-04-06,1126.63
1990-04-09,1120.33
1990-04-10,1119.32
1990-04-11,1122.83
1990-04-12,1127.94
1990-04-13,1127.36
1990-04-16,1130.41
1990-04-17,1133.43
1990-04-18,1124.96
1990-04-19,1120.75
1990-04-20,1127.18
1990-04-23,1108.59
1990-04-24,1106.22
1990-04-25,1104.51
1990-04-26,1095.66
1990-04-27,1091.63
1990-04-30,1087.94
1990-05-01,1088.04
1990-05-02,1098.06
1990-05-03,1111.77
1990-05-04,1118.26
1990-05-07,1128.43
1990-05-08,1123.19
1990-05-09,1119.61
1990-05-10,1116.0
1990-05-11,1110.37
1990-05-14,1111.93
1990-05-15,1109.35
1990-05-16,1107.71
1990-05-17,1113.09
1990-05-18,1109.49
1990-05-21,1098.29
1990-05-22,1106.66
1990-05-23,1111.21
1990-05-24,1110.43
1990-05-25,1102.43
1990-05-28,1099.45
1990-05-29,1111.82
1990-05-30,1117.22
1990-05-31,1116.83
1990-06-01,1116.17
1990-06-04,1120.1
1990-06-05,1123.85
1990-06-06,1108.59
1990-06-07,1107.05
1990-06-08,1099.46
1990-06-11,1094.01
1990-06-12,1092.18
1990-06-13,1094.42
1990-06-14,1097.85
1990-06-15,1089.21
1990-06-18,1084.24
1990-06-19,1098.5
1990-06-20,1102.64
1990-06-21,1105.72
1990-06-22,1112.61
1990-06-25,1118.94
1990-06-26,1123.46
1990-06-27,1122.16
1990-06-28,1122.46
1990-06-29,1120.33
1990-07-02,1124.08
1990-07-03,1121.5
1990-07-04,1120.64
1990-07-05,1113.32
1990-07-06,1114.14
1990-07-09,1110.41
1990-07-10,1100.56
1990-07-11,1109.54
1990-07-12,1118.71
1990-07-13,1121.3
1990-07-16,1127.62
1990-07-17,1133.76
1990-07-18,1133.35
1990-07-19,1134.74
1990-07-20,1136.18
1990-07-23,1120.62
1990-07-24,1120.9
1990-07-25,1122.36
1990-07-26,1120.59
1990-07-27,1112.67
1990-07-30,1107.72
1990-07-31,1116.48
1990-08-01,1108.96
1990-08-02,1097.11
1990-08-03,1073.07
1990-08-06,1021.5
1990-08-07,1038.87
1990-08-08,1016.7
1990-08-09,1023.96
1990-08-10,1021.27
1990-08-13,996.97
1990-08-14,1003.6
1990-08-15,1001.34
1990-08-16,1007.38
1990-08-17,976.71
1990-08-20,952.64
1990-08-21,920.64
1990-08-22,930.22
1990-08-23,903.54
1990-08-24,919.56
1990-08-27,964.12
1990-08-28,955.84
1990-08-29,962.32
1990-08-30,969.57
1990-08-31,962.15
1990-09-03,958.14
1990-09-04,940.34
1990-09-05,940.26
1990-09-06,935.87
1990-09-07,937.84
1990-09-10,956.25
1990-09-11,947.76
1990-09-12,954.82
1990-09-13,952.68
1990-09-14,934.09
1990-09-17,924.31
1990-09-18,907.31
1990-09-19,904.25
1990-09-20,890.88
1990-09-21,886.52
1990-09-24,871.4
1990-09-25,850.99
1990-09-26,860.78
1990-09-27,860.35
1990-09-28,845.96
1990-10-01,875.4
1990-10-02,896.69
1990-10-03,891.71
1990-10-04,881.17
1990-10-05,866.85
1990-10-08,893.92
1990-10-09,877.9
1990-10-10,866.26
1990-10-11,869.63
1990-10-12,884.94
1990-10-15,891.48
1990-10-16,889.95
1990-10-17,886.78
1990-10-18,901.35
1990-10-19,910.29
1990-10-22,904.12
1990-10-23,925.33
1990-10-24,924.52
1990-10-25,916.65
1990-10-26,898.73
1990-10-29,896.33
1990-10-30,886.68
1990-10-31,889.57
1990-11-01,884.62
1990-11-02,881.74
1990-11-05,877.88
1990-11-06,876.74
1990-11-07,864.83
1990-11-08,857.62
1990-11-09,861.32
1990-11-12,872.25
1990-11-13,875.77
1990-11-14,870.61
1990-11-15,871.07
1990-11-16,872.0
1990-11-19,882.81
1990-11-20,885.13
1990-11-21,882.83
1990-11-22,889.89
1990-11-23,888.42
1990-11-26,872.01
1990-11-27,863.28
1990-11-28,864.11
1990-11-29,869.21
1990-11-30,872.81
1990-12-03,891.1
1990-12-04,884.12
1990-12-05,893.1
1990-12-06,906.2
1990-12-07,911.41
1990-12-10,908.44
1990-12-11,904.26
1990-12-12,908.03
1990-12-13,911.65
1990-12-14,909.65
1990-12-17,892.49
1990-12-18,893.1
1990-12-19,888.7
1990-12-20,870.71
1990-12-21,872.92
1990-12-24,867.05
1990-12-25,871.47
1990-12-26,866.14
1990-12-27,866.16
1990-12-28,861.57
1990-12-31,858.72
1991-01-01,858.72
1991-01-02,851.35
1991-01-03,854.53
1991-01-04,864.27
1991-01-07,847.19
1991-01-08,842.12
1991-01-09,855.99
1991-01-10,846.31
1991-01-11,843.24
1991-01-14,818.5
1991-01-15,820.44
1991-01-16,821.34
1991-01-17,869.45
1991-01-18,862.65
1991-01-21,854.7
1991-01-22,848.71
1991-01-23,839.95
1991-01-24,852.09
1991-01-25,857.71
1991-01-28,858.5
1991-01-29,853.54
1991-01-30,867.21
1991-01-31,871.77
1991-02-01,871.68
1991-02-04,877.61
1991-02-05,883.56
1991-02-06,880.79
1991-02-07,889.81
1991-02-08,899.59
1991-02-11,914.85
1991-02-12,908.94
1991-02-13,916.72
1991-02-14,922.72
1991-02-15,934.79
1991-02-18,950.97
1991-02-19,957.05
1991-02-20,946.46
1991-02-21,948.9
1991-02-22,959.84
1991-02-25,971.27
1991-02-26,953.01
1991-02-27,956.15
1991-02-28,959.23
1991-03-01,948.8
1991-03-04,956.15
1991-03-05,963.97
1991-03-06,982.18
1991-03-07,983.63
1991-03-08,990.7
1991-03-11,979.89
1991-03-12,980.11
1991-03-13,969.17
1991-03-14,986.08
1991-03-15,982.29
1991-03-18,978.94
1991-03-19,972.89
1991-03-20,964.73
1991-03-21,970.5
1991-03-22,966.81
1991-03-25,969.86
1991-03-26,966.84
1991-03-27,971.07
1991-03-28,981.91
1991-03-29,982.08
1991-04-01,988.77
1991-04-02,985.68
1991-04-03,998.76
1991-04-04,995.97
1991-04-05,1002.3
1991-04-08,995.14
1991-04-09,999.3
1991-04-10,988.82
1991-04-11,995.21
1991-04-12,1001.18
1991-04-15,1006.18
1991-04-16,1001.9
1991-04-17,1012.74
1991-04-18,1012.91
1991-04-19,1007.43
1991-04-22,995.36
1991-04-23,1004.69
1991-04-24,1006.87
1991-04-25,1013.64
1991-04-26,998.46
1991-04-29,1006.89
1991-04-30,1002.08
1991-05-01,1004.74
1991-05-02,1017.29
1991-05-03,1018.24
1991-05-06,1019.47
1991-05-07,1019.77
1991-05-08,1013.48
1991-05-09,1015.16
1991-05-10,1024.15
1991-05-13,1015.48
1991-05-14,1012.67
1991-05-15,1004.96
1991-05-16,1008.49
1991-05-17,1004.86
1991-05-20,1006.74
1991-05-21,1015.4
1991-05-22,1021.14
1991-05-23,1020.26
1991-05-24,1021.3
1991-05-27,1023.97
1991-05-28,1027.34
1991-05-29,1031.32
1991-05-30,1035.19
1991-05-31,1045.52
1991-06-03,1048.03
1991-06-04,1044.26
1991-06-05,1051.3
1991-06-06,1045.72
1991-06-07,1043.22
1991-06-10,1042.47
1991-06-11,1050.0
1991-06-12,1041.42
1991-06-13,1039.11
1991-06-14,1047.25
1991-06-17,1041.32
1991-06-18,1037.89
1991-06-19,1029.36
1991-06-20,1024.79
1991-06-21,1033.43
1991-06-24,1020.52
1991-06-25,1021.47
1991-06-26,1014.97
1991-06-27,1014.9
1991-06-28,1003.15
1991-07-01,1004.3
1991-07-02,1001.04
1991-07-03,993.27
1991-07-04,991.43
1991-07-05,999.65
1991-07-08,987.06
1991-07-09,996.24
1991-07-10,1006.27
1991-07-11,999.48
1991-07-12,998.13
1991-07-15,1002.16
1991-07-16,1002.52
1991-07-17,995.75
1991-07-18,996.4
1991-07-19,1002.0
1991-07-22,1003.19
1991-07-23,1007.02
1991-07-24,1004.49
1991-07-25,1002.65
1991-07-26,996.86
1991-07-29,996.31
1991-07-30,1000.15
1991-07-31,1000.94
1991-08-01,1003.75
1991-08-02,1001.23
1991-08-05,1002.24
1991-08-06,995.93
1991-08-07,1006.09
1991-08-08,1004.69
1991-08-09,1003.49
1991-08-12,1000.7
1991-08-13,1008.87
1991-08-14,1012.18
1991-08-15,1012.9
1991-08-16,1013.94
1991-08-19,942.04
1991-08-20,962.69
1991-08-21,982.63
1991-08-22,1003.52
1991-08-23,1007.05
1991-08-26,1014.68
1991-08-27,1013.34
1991-08-28,1011.53
1991-08-29,1014.31
1991-08-30,1016.62
1991-09-02,1016.78
1991-09-03,1019.44
1991-09-04,1018.78
1991-09-05,1019.67
1991-09-06,1017.57
1991-09-09,1011.74
1991-09-10,1006.09
1991-09-11,1003.27
1991-09-12,1006.92
1991-09-13,1008.85
1991-09-16,1009.76
1991-09-17,1009.64
1991-09-18,1012.61
1991-09-19,1011.56
1991-09-20,1012.54
1991-09-23,1009.21
1991-09-24,1014.21
1991-09-25,1010.29
1991-09-26,1009.44
1991-09-27,1005.94
1991-09-30,1007.0
