Date,SR30Y
2013-05-10,3.743459
2013-05-13,3.722417
2013-05-14,3.711405
2013-05-15,3.774429
2013-05-16,3.756653
2013-05-17,3.742156
2013-05-20,3.744248
2013-05-21,3.787351
2013-05-22,3.755311
2013-05-23,3.765078
2013-05-24,3.768717
2013-05-27,3.800576
2013-05-28,3.800142
2013-05-29,3.836225
2013-05-30,3.844204
2013-05-31,3.866334
2013-06-03,3.863185
2013-06-04,3.879264
2013-06-05,3.863901
2013-06-06,3.917811
2013-06-07,3.839357
2013-06-10,3.921248
2013-06-11,3.83404
2013-06-12,3.858073
2013-06-13,3.846808
2013-06-14,3.785148
2013-06-17,3.843619
2013-06-18,3.91198
2013-06-19,3.817705
2013-06-20,3.977043
2013-06-21,4.016861
2013-06-24,4.095354
2013-06-25,4.131722
2013-06-26,4.059552
2013-06-27,4.016168
2013-06-28,4.052857
2013-07-01,4.003584
2013-07-02,3.989364
2013-07-03,3.973288
2013-07-04,3.901446
2013-07-05,3.920055
2013-07-08,3.92006
2013-07-09,3.91653
2013-07-10,3.986949
2013-07-11,4.007078
2013-07-12,3.910667
2013-07-15,3.909548
2013-07-16,3.904014
2013-07-17,3.903903
2013-07-18,4.003049
2013-07-19,3.989907
2013-07-22,3.943526
2013-07-23,3.954965
2013-07-24,3.98838
2013-07-25,4.009235
2013-07-26,4.013494
2013-07-29,4.064675
2013-07-30,4.181473
2013-07-31,4.155666
2013-08-01,4.070055
2013-08-02,4.007
2013-08-05,4.015571
2013-08-06,3.963517
2013-08-07,4.002551
2013-08-08,3.944979
2013-08-09,3.956928
2013-08-12,3.965721
2013-08-13,4.041344
2013-08-14,4.055561
2013-08-15,4.103816
2013-08-16,4.000708
2013-08-19,4.043913
2013-08-20,4.032843
2013-08-21,4.10735
2013-08-22,4.093932
2013-08-23,4.114507
2013-08-26,4.099909
2013-08-27,4.030494
2013-08-28,4.068143
2013-08-29,4.054009
2013-08-30,4.104124
2013-09-02,4.075523
2013-09-03,4.096763
2013-09-04,4.116691
2013-09-05,4.234101
2013-09-06,4.141213
2013-09-09,4.198924
2013-09-10,4.260146
2013-09-11,4.211162
2013-09-12,4.176895
2013-09-13,4.191897
2013-09-16,4.179036
2013-09-17,4.138268
2013-09-18,4.159866
2013-09-19,4.14078
2013-09-20,4.171479
2013-09-23,4.153334
2013-09-24,4.108498
2013-09-25,4.064388
2013-09-26,4.081714
2013-09-27,4.072794
2013-09-30,4.073111
2013-10-01,4.057511
2013-10-02,4.046714
2013-10-03,4.079316
2013-10-04,4.096563
2013-10-07,4.074045
2013-10-08,4.086233
2013-10-09,4.076328
2013-10-10,4.115964
2013-10-11,4.094699
2013-10-14,4.103148
2013-10-15,4.118676
2013-10-16,4.150262
2013-10-17,4.132591
2013-10-18,4.108172
2013-10-21,4.109598
2013-10-22,4.058106
2013-10-23,4.034961
2013-10-24,4.021795
2013-10-25,4.036576
2013-10-28,3.995291
2013-10-29,3.994741
2013-10-30,3.993891
2013-10-31,3.975635
2013-11-01,3.978767
2013-11-04,3.971588
2013-11-05,4.017746
2013-11-06,4.033482
2013-11-07,4.026776
2013-11-08,4.065752
2013-11-11,4.051935
2013-11-12,4.084209
2013-11-13,4.073227
2013-11-14,4.04349
2013-11-15,4.041172
2013-11-18,4.041897
2013-11-19,4.03654
2013-11-20,4.046049
2013-11-21,4.080349
2013-11-22,4.050916
2013-11-25,4.036152
2013-11-26,4.045622
2013-11-27,4.051083
2013-11-28,4.040111
2013-11-29,4.02615
2013-12-02,4.040512
2013-12-03,4.017797
2013-12-04,4.054702
2013-12-05,4.09663
2013-12-06,4.069308
2013-12-09,4.050649
2013-12-10,4.031489
2013-12-11,3.997233
2013-12-12,4.016301
2013-12-13,4.00525
2013-12-16,4.027948
2013-12-17,4.026484
2013-12-18,4.011091
2013-12-19,4.007534
2013-12-20,4.012055
2013-12-23,4.044207
2013-12-24,4.04117
2013-12-27,4.067116
2013-12-30,4.042977
2013-12-31,4.037725
2014-01-02,4.058249
2014-01-03,4.072638
2014-01-06,4.054351
2014-01-07,4.022271
2014-01-08,4.002016
2014-01-09,4.005929
2014-01-10,4.019057
2014-01-13,4.009813
2014-01-14,3.971372
2014-01-15,3.963181
2014-01-16,3.947232
2014-01-17,3.914747
2014-01-20,3.879689
2014-01-21,3.860262
2014-01-22,3.873498
2014-01-23,3.869217
2014-01-24,3.850891
2014-01-27,3.86023
2014-01-28,3.889542
2014-01-29,3.87276
2014-01-30,3.806035
2014-01-31,3.773322
2014-02-03,3.784367
2014-02-04,3.804016
2014-02-05,3.813168
