Date,EONIA_ESTR
2013-04-03,-0.013000000000000012
2013-04-04,-0.01100000000000001
2013-04-05,-0.010000000000000009
2013-04-08,-0.0030000000000000027
2013-04-09,-0.007000000000000006
2013-04-10,-0.0030000000000000027
2013-04-11,0.000999999999999987
2013-04-12,-0.0030000000000000027
2013-04-15,-0.0020000000000000018
2013-04-16,-0.0050000000000000044
2013-04-17,-0.007000000000000006
2013-04-18,-0.0050000000000000044
2013-04-19,-0.0020000000000000018
2013-04-22,-0.0030000000000000027
2013-04-23,-0.006000000000000005
2013-04-24,-0.0020000000000000018
2013-04-25,-0.0020000000000000018
2013-04-26,-0.0030000000000000027
2013-04-29,0.0
2013-04-30,0.016999999999999987
2013-05-02,-0.007000000000000006
2013-05-03,-0.008000000000000007
2013-05-06,-0.0020000000000000018
2013-05-07,-0.010000000000000009
2013-05-08,-0.021000000000000005
2013-05-09,-0.013000000000000012
2013-05-10,-0.01100000000000001
2013-05-13,0.000999999999999987
2013-05-14,-0.0040000000000000036
2013-05-15,-0.007000000000000006
2013-05-16,-0.0030000000000000027
2013-05-17,-0.019000000000000003
2013-05-20,-0.016
2013-05-21,-0.009000000000000008
2013-05-22,-0.0020000000000000018
2013-05-23,-0.007000000000000006
2013-05-24,-0.0040000000000000036
2013-05-27,-0.0030000000000000027
2013-05-28,-0.0010000000000000009
2013-05-29,-0.009000000000000008
2013-05-30,-0.01200000000000001
2013-05-31,0.028999999999999998
2013-06-03,-0.007000000000000006
2013-06-04,-0.007000000000000006
2013-06-05,-0.0040000000000000036
2013-06-06,-0.0020000000000000018
2013-06-07,-0.007000000000000006
2013-06-10,-0.0030000000000000027
2013-06-11,-0.010000000000000009
2013-06-12,-0.008000000000000007
2013-06-13,-0.01100000000000001
2013-06-14,-0.010000000000000009
2013-06-17,-0.0050000000000000044
2013-06-18,-0.01200000000000001
2013-06-19,-0.0030000000000000027
2013-06-20,-0.0030000000000000027
2013-06-21,-0.0010000000000000009
2013-06-24,-0.0010000000000000009
2013-06-25,-0.006000000000000005
2013-06-26,-0.0010000000000000009
2013-06-27,0.000999999999999987
2013-06-28,0.12299999999999998
2013-07-01,0.0
2013-07-02,-0.0030000000000000027
2013-07-03,-0.0030000000000000027
2013-07-04,0.001999999999999988
2013-07-05,0.001999999999999988
2013-07-08,-0.0010000000000000009
2013-07-09,-0.0020000000000000018
2013-07-10,0.002999999999999989
2013-07-11,0.0049999999999999906
2013-07-12,0.001999999999999988
2013-07-15,0.000999999999999987
2013-07-16,-0.0020000000000000018
2013-07-17,0.0049999999999999906
2013-07-18,0.0059999999999999915
2013-07-19,0.012999999999999998
2013-07-22,0.016
2013-07-23,0.01999999999999999
2013-07-24,0.01899999999999999
2013-07-25,0.012999999999999998
2013-07-26,0.011999999999999997
2013-07-29,0.006999999999999992
2013-07-30,0.013999999999999999
2013-07-31,0.05799999999999998
2013-08-01,0.007999999999999993
2013-08-02,-0.0010000000000000009
2013-08-05,-0.0020000000000000018
2013-08-06,-0.007000000000000006
2013-08-07,0.013999999999999999
2013-08-08,-0.0010000000000000009
2013-08-09,-0.0030000000000000027
2013-08-12,-0.006000000000000005
2013-08-13,-0.008000000000000007
2013-08-14,-0.0050000000000000044
2013-08-15,-0.008000000000000007
2013-08-16,-0.007000000000000006
2013-08-19,-0.006000000000000005
2013-08-20,-0.007000000000000006
2013-08-21,-0.007000000000000006
2013-08-22,-0.006000000000000005
2013-08-23,-0.008000000000000007
2013-08-26,-0.007000000000000006
2013-08-27,-0.0050000000000000044
2013-08-28,-0.007000000000000006
2013-08-29,-0.009000000000000008
2013-08-30,0.021999999999999992
2013-09-02,-0.006000000000000005
2013-09-03,-0.0050000000000000044
2013-09-04,-0.01200000000000001
2013-09-05,-0.016
2013-09-06,-0.010000000000000009
2013-09-09,-0.017
2013-09-10,-0.014000000000000012
2013-09-11,-0.01200000000000001
2013-09-12,-0.017
2013-09-13,-0.013000000000000012
2013-09-16,-0.01200000000000001
2013-09-17,-0.010000000000000009
