model,train_years,horizon,horizon_days,checkpoint_index,checkpoint_date,rmse,rmdse
MLP,1Y,6M,126,2562,2014-09-22,1.6788854598999023,1.0776042938232422
MLP,1Y,6M,126,2572,2014-10-06,1.5855926275253296,1.0018473863601685
MLP,1Y,6M,126,2582,2014-10-20,1.8384573459625244,1.111467957496643
MLP,1Y,6M,126,2592,2014-11-03,1.7722182273864746,0.9553150534629822
MLP,1Y,6M,126,2602,2014-11-17,1.5159140825271606,0.9393300414085388
MLP,1Y,6M,126,2612,2014-12-01,1.596299648284912,1.055074691772461
MLP,1Y,6M,126,2622,2014-12-15,1.3465075492858887,0.8608797192573547
MLP,1Y,6M,126,2632,2014-12-31,1.639107584953308,1.1798561811447144
MLP,1Y,6M,126,2642,2015-01-15,1.6580883264541626,1.0967628955841064
MLP,1Y,6M,126,2652,2015-01-29,1.4784083366394043,0.9209272265434265
MLP,1Y,6M,126,2662,2015-02-12,1.5635215044021606,0.9862240552902222
MLP,1Y,6M,126,2672,2015-02-26,1.8120352029800415,1.052712321281433
MLP,1Y,6M,126,2682,2015-03-12,1.6779943704605103,1.0148694515228271
MLP,1Y,6M,126,2692,2015-03-26,1.7542604207992554,1.1716580390930176
MLP,1Y,6M,126,2702,2015-04-13,1.8934118747711182,1.0859631299972534
MLP,1Y,6M,126,2712,2015-04-27,1.850814938545227,1.0277756452560425
MLP,1Y,6M,126,2722,2015-05-11,1.688265085220337,0.9061082005500793
MLP,1Y,6M,126,2732,2015-05-25,1.8322196006774902,1.1439142227172852
MLP,1Y,6M,126,2742,2015-06-08,1.7078626155853271,0.8342589735984802
MLP,1Y,6M,126,2752,2015-06-22,1.869368553161621,1.0120048522949219
MLP,1Y,6M,126,2762,2015-07-06,1.5927541255950928,0.8907214999198914
MLP,1Y,6M,126,2772,2015-07-20,1.7029002904891968,1.1955736875534058
MLP,1Y,6M,126,2782,2015-08-03,1.7747684717178345,1.1103342771530151
MLP,1Y,6M,126,2792,2015-08-17,1.9475351572036743,1.2555245161056519
MLP,1Y,6M,126,2802,2015-08-31,1.7853320837020874,1.1837698221206665
MLP,1Y,6M,126,2812,2015-09-14,1.9192770719528198,1.2995926141738892
MLP,1Y,6M,126,2822,2015-09-28,1.7690978050231934,1.072090983390808
MLP,1Y,6M,126,2832,2015-10-12,1.5645986795425415,0.9164262413978577
MLP,1Y,6M,126,2842,2015-10-26,1.6626849174499512,1.0770212411880493
MLP,1Y,6M,126,2852,2015-11-09,1.6273225545883179,1.0505748987197876
MLP,1Y,6M,126,2862,2015-11-23,1.6094335317611694,0.9646609425544739
MLP,1Y,6M,126,2872,2015-12-07,1.7182420492172241,1.1183208227157593
MLP,1Y,6M,126,2882,2015-12-21,2.2017219066619873,1.5732876062393188
MLP,1Y,6M,126,2892,2016-01-06,1.9585306644439697,1.2579905986785889
MLP,1Y,6M,126,2902,2016-01-20,2.906217575073242,2.527503728866577
MLP,1Y,6M,126,2912,2016-02-03,2.285834789276123,1.7702417373657227
MLP,1Y,6M,126,2922,2016-02-17,1.663771152496338,0.9710643887519836
MLP,1Y,6M,126,2932,2016-03-02,1.5268006324768066,0.8231764435768127
MLP,1Y,6M,126,2942,2016-03-16,1.5030184984207153,0.8447103500366211
MLP,1Y,6M,126,2952,2016-04-01,1.582182765007019,0.9142508506774902
MLP,1Y,6M,126,2962,2016-04-15,1.4562268257141113,0.7977958917617798
MLP,1Y,6M,126,2972,2016-04-29,1.4502813816070557,0.8239995837211609
MLP,1Y,6M,126,2982,2016-05-13,1.3861640691757202,0.7271819114685059
MLP,1Y,6M,126,2992,2016-05-27,1.3984607458114624,0.7987473607063293
MLP,1Y,6M,126,3002,2016-06-10,1.3978257179260254,0.7236877679824829
MLP,1Y,6M,126,3012,2016-06-24,1.1218148469924927,0.7800161242485046
MLP,1Y,6M,126,3022,2016-07-08,0.9848046898841858,0.6673212051391602
