Date,rel_day,error,model,event_name
2008-09-23,-8.0,-0.04248607,MLP1Y,2008 Financial Crisis
2008-09-24,-7.0,2.6898046,MLP1Y,2008 Financial Crisis
2008-09-25,-6.0,-4.0826535,MLP1Y,2008 Financial Crisis
2008-09-26,-5.0,1.7702427,MLP1Y,2008 Financial Crisis
2008-09-29,-4.0,7.0042906,MLP1Y,2008 Financial Crisis
2008-09-30,-3.0,-1.6131241,MLP1Y,2008 Financial Crisis
2008-10-01,-2.0,-1.1827966,MLP1Y,2008 Financial Crisis
2008-10-02,-1.0,1.801663,MLP1Y,2008 Financial Crisis
2008-10-03,0.0,-2.356127,MLP1Y,2008 Financial Crisis
2008-10-06,1.0,5.9650497,MLP1Y,2008 Financial Crisis
2008-10-07,2.0,-1.0645185,MLP1Y,2008 Financial Crisis
2008-10-08,3.0,6.47479,MLP1Y,2008 Financial Crisis
2008-10-09,4.0,0.27024627,MLP1Y,2008 Financial Crisis
2008-10-10,5.0,6.7477055,MLP1Y,2008 Financial Crisis
2008-10-13,6.0,-12.654436,MLP1Y,2008 Financial Crisis
2008-10-14,7.0,-3.107491,MLP1Y,2008 Financial Crisis
2008-10-15,8.0,7.763238,MLP1Y,2008 Financial Crisis
2008-10-16,9.0,7.5832524,MLP1Y,2008 Financial Crisis
2008-10-17,10.0,-9.916702,MLP1Y,2008 Financial Crisis
2008-10-20,11.0,-1.6346248,MLP1Y,2008 Financial Crisis
2008-10-21,12.0,1.5760674,MLP1Y,2008 Financial Crisis
2008-10-22,13.0,5.609667,MLP1Y,2008 Financial Crisis
2008-10-23,14.0,-2.5806172,MLP1Y,2008 Financial Crisis
2008-10-24,15.0,2.5166826,MLP1Y,2008 Financial Crisis
2008-10-27,16.0,1.1783589,MLP1Y,2008 Financial Crisis
2008-10-28,17.0,-5.850431,MLP1Y,2008 Financial Crisis
2008-10-29,18.0,-4.566052,MLP1Y,2008 Financial Crisis
2008-10-30,19.0,-0.2139571,MLP1Y,2008 Financial Crisis
2008-10-31,20.0,-1.1803602,MLP1Y,2008 Financial Crisis
