Date,SR10Y
2015-12-29,1.269076
2015-12-30,1.260031
2016-01-04,1.194642
2016-01-05,1.17985
2016-01-06,1.152162
2016-01-07,1.201408
2016-01-08,1.174617
2016-01-11,1.216366
2016-01-12,1.24948
2016-01-13,1.194596
2016-01-14,1.164168
2016-01-15,1.149571
2016-01-18,1.160796
2016-01-19,1.163472
2016-01-20,1.156162
2016-01-21,1.090319
2016-01-22,1.133814
2016-01-25,1.120359
2016-01-26,1.079853
2016-01-27,1.08427
2016-01-28,1.039627
2016-01-29,0.979924
2016-02-01,0.98144
2016-02-02,0.97286
2016-02-03,0.97684
2016-02-04,0.990848
2016-02-05,1.000214
2016-02-08,1.009432
2016-02-09,1.049135
2016-02-10,1.019847
2016-02-11,1.019483
2016-02-12,1.015088
2016-02-15,1.005707
2016-02-16,1.042496
2016-02-17,1.015141
2016-02-18,0.957994
2016-02-19,0.956523
2016-02-22,0.935311
2016-02-23,0.95728
2016-02-24,0.897427
2016-02-25,0.912492
2016-02-26,0.898272
2016-02-29,0.863994
2016-03-01,0.87838
2016-03-02,0.930013
2016-03-03,0.919092
2016-03-04,0.93746
2016-03-07,0.930543
2016-03-08,0.905228
2016-03-09,0.933035
2016-03-10,0.869759
2016-03-11,0.907338
2016-03-14,0.886952
2016-03-15,0.937949
2016-03-16,0.910644
2016-03-17,0.865821
2016-03-18,0.839659
2016-03-21,0.859073
2016-03-22,0.842614
2016-03-23,0.869809
2016-03-24,0.834574
2016-03-29,0.786659
2016-03-30,0.79415
2016-03-31,0.788075
2016-04-01,0.762826
2016-04-04,0.775002
2016-04-05,0.755493
2016-04-06,0.780509
2016-04-07,0.796224
2016-04-08,0.783408
2016-04-11,0.816413
2016-04-12,0.829838
2016-04-13,0.810733
2016-04-14,0.822493
2016-04-15,0.814873
2016-04-18,0.82523
2016-04-19,0.857345
2016-04-20,0.837054
2016-04-21,0.886567
2016-04-22,0.919417
2016-04-25,0.966788
2016-04-26,0.973681
2016-04-27,0.976811
2016-04-28,0.941045
2016-04-29,0.97025
2016-05-02,0.944126
2016-05-03,0.888185
2016-05-04,0.914583
2016-05-05,0.899215
2016-05-06,0.884942
2016-05-09,0.868715
2016-05-10,0.843622
2016-05-11,0.863123
2016-05-12,0.8928
2016-05-13,0.861948
2016-05-16,0.870539
2016-05-17,0.84427
2016-05-18,0.884784
2016-05-19,0.867478
2016-05-20,0.874777
2016-05-23,0.872901
2016-05-24,0.85296
2016-05-25,0.816795
2016-05-26,0.814769
2016-05-27,0.796965
2016-05-30,0.836023
2016-05-31,0.830888
2016-06-01,0.80789
2016-06-02,0.81198
2016-06-03,0.769537
2016-06-06,0.772699
2016-06-07,0.754982
2016-06-08,0.747166
2016-06-09,0.700083
2016-06-10,0.714641
2016-06-13,0.741934
2016-06-14,0.756385
2016-06-15,0.752159
2016-06-16,0.786107
2016-06-17,0.762935
2016-06-20,0.744758
2016-06-21,0.747704
2016-06-22,0.743658
2016-06-23,0.745892
2016-06-24,0.724177
2016-06-27,0.66142
2016-06-28,0.616724
2016-06-29,0.577213
2016-06-30,0.562101
2016-07-01,0.509498
2016-07-04,0.516771
2016-07-05,0.502735
2016-07-06,0.480019
2016-07-07,0.505023
2016-07-08,0.464632
2016-07-11,0.473928
2016-07-12,0.506309
2016-07-13,0.478948
2016-07-14,0.524028
2016-07-15,0.541569
2016-07-18,0.538024
2016-07-19,0.5288
2016-07-20,0.538813
2016-07-21,0.557401
2016-07-22,0.549289
2016-07-25,0.522217
2016-07-26,0.523775
2016-07-27,0.502183
2016-07-28,0.498483
2016-07-29,0.468627
2016-08-01,0.454414
2016-08-02,0.512541
2016-08-03,0.505917
